OptimalValue,RunTime,TrueValue,n
0.9999999840279318,0.06046605110168457,1.0,1
1.4140669644359982,0.08192586898803711,1.4142135623730951,2
1.7319337981937801,0.11730313301086426,1.7320508075688772,3
2.0016443572025064,0.14886093139648438,2.0,4
2.229434178493907,0.24734020233154297,2.23606797749979,5
2.4513361625051093,0.42707085609436035,2.449489742783178,6
2.675255947847414,0.7709457874298096,2.6457513110645907,7
2.852905060885867,1.2647407054901123,2.8284271247461903,8
2.979952080189854,2.882615089416504,3.0,9
3.09285252376816,5.3517608642578125,3.1622776601683795,10
3.2134139053306945,8.913775205612183,3.3166247903554,11
3.3509546524578577,29.67870306968689,3.4641016151377544,12
3.513604979435845,46.29202890396118,3.605551275463989,13
3.7055077672444092,80.37497591972351,3.7416573867739413,14
3.9220262308369476,102.55394697189331,3.872983346207417,15
4.151542475612413,148.14250016212463,4.0,16
4.344920125191587,206.58139300346375,4.123105625617661,17
4.497190587775679,284.915176153183,4.242640687119285,18
4.619297957093018,382.1979248523712,4.358898943540674,19
4.7310027727987745,520.2916450500488,4.47213595499958,20
